frame_size = 20000,  actual_sampling_rate/(S/sec) = 200000.000000, carrier/Hz = 19999999.9953 
amplitude,phase/rad
0.262089,-2.562342
0.262150,-2.565827
0.262120,-2.564505
0.262062,-2.565056
0.262097,-2.562084
0.262053,-2.561277
0.262150,-2.558595
0.262173,-2.555301
0.262130,-2.554074
0.262138,-2.554656
0.262055,-2.556820
0.262140,-2.556754
0.262098,-2.557207
0.262014,-2.558113
0.262130,-2.561469
0.262165,-2.562114
0.262177,-2.559498
0.262091,-2.558725
0.262105,-2.554849
0.262062,-2.552783
0.262021,-2.550295
0.262088,-2.552008
0.262114,-2.550393
0.262071,-2.552104
0.262088,-2.552008
0.262062,-2.553622
0.262071,-2.555463
0.262124,-2.557691
0.262079,-2.553945
0.262113,-2.552912
0.262090,-2.549489
0.262093,-2.547389
0.262055,-2.544901
0.262136,-2.546938
0.262069,-2.546484
0.262065,-2.549004
0.262121,-2.553493
0.262206,-2.553429
0.262147,-2.552299
0.262114,-2.550393
0.262111,-2.546453
0.262061,-2.546323
0.262062,-2.542382
0.262055,-2.541800
0.262035,-2.542736
0.262064,-2.544643
0.262066,-2.548164
0.262141,-2.549199
0.262081,-2.550167
0.262109,-2.547713
0.262052,-2.546161
0.262052,-2.546161
0.262115,-2.544774
0.262165,-2.544905
0.262093,-2.547389
0.262048,-2.548680
0.262072,-2.550425
0.262054,-2.552621
0.262098,-2.550070
0.262164,-2.545325
0.262085,-2.543287
0.262060,-2.542802
0.262141,-2.541320
0.262074,-2.541284
0.262131,-2.541998
0.262083,-2.543707
0.262150,-2.544162
0.262068,-2.546904
0.262112,-2.546034
0.262150,-2.544162
0.262038,-2.544998
0.262079,-2.545387
0.262034,-2.547097
0.262138,-2.545679
0.262148,-2.545001
0.262070,-2.545645
0.262002,-2.546030
0.262093,-2.547389
0.262009,-2.546612
0.262173,-2.545067
0.262094,-2.543029
0.262095,-2.542610
0.262088,-2.542028
0.262101,-2.543611
0.262023,-2.544254
0.262141,-2.544420
0.262084,-2.547648
0.262059,-2.547162
0.262123,-2.544936
0.262085,-2.543287
0.262094,-2.540349
0.262038,-2.541897
0.262027,-2.539893
0.262202,-2.540774
0.262136,-2.542999
0.262054,-2.545321
0.262031,-2.549197
0.262142,-2.548359
0.262108,-2.548133
0.262110,-2.547293
0.262057,-2.544062
0.262079,-2.545806
0.262097,-2.545290
0.262035,-2.546677
0.262074,-2.548326
0.262065,-2.548584
0.262034,-2.547097
0.262125,-2.544096
0.262104,-2.542352
0.262003,-2.542089
0.262078,-2.542706
0.262161,-2.543064
0.262085,-2.546808
0.262091,-2.548649
0.262063,-2.551523
0.262132,-2.549877
0.262116,-2.548714
0.262017,-2.546774
0.262128,-2.546357
0.262077,-2.546646
0.262110,-2.547293
0.262101,-2.547131
0.262072,-2.550005
0.262081,-2.550167
0.262089,-2.550748
0.262124,-2.548876
0.262085,-2.546808
0.262043,-2.546839
0.262044,-2.545999
0.262065,-2.549004
0.262114,-2.551233
0.262081,-2.549327
0.262046,-2.551620
0.262131,-2.551136
0.262115,-2.549973
0.262063,-2.551523
0.262079,-2.554785
0.262071,-2.553364
0.262063,-2.551523
0.262138,-2.552557
0.262029,-2.555496
0.262114,-2.556690
0.262122,-2.555172
0.262045,-2.554979
0.262138,-2.554656
0.262130,-2.555754
0.262088,-2.556206
0.262088,-2.556206
0.262064,-2.557401
0.262130,-2.555754
0.262080,-2.556464
0.262097,-2.556787
0.262088,-2.556206
0.262088,-2.554946
0.262173,-2.556141
0.262080,-2.555625
0.262115,-2.557110
0.262038,-2.556917
0.262020,-2.555334
0.262088,-2.554946
0.262114,-2.556690
