frame_size = 2000,  actual_sampling_rate/(S/sec) = 200000.000000, carrier/Hz = 19999999.9953 
amplitude,phase/rad
0.248520,-1.847291
0.248499,-1.847443
0.248522,-1.844609
0.248585,-1.844155
0.248503,-1.847055
0.248478,-1.848489
0.248478,-1.850277
0.248512,-1.851643
0.248501,-1.853701
0.248489,-1.853971
0.248547,-1.856079
0.248504,-1.855489
0.248533,-1.852385
0.248440,-1.848404
0.248458,-1.845958
0.248442,-1.844827
0.248533,-1.846127
0.248440,-1.850193
0.248445,-1.851593
0.248492,-1.852689
0.248515,-1.854325
0.248466,-1.855406
0.248468,-1.858477
0.248519,-1.857007
0.248534,-1.853279
0.248508,-1.852031
0.248511,-1.849855
0.248491,-1.850901
0.248493,-1.853583
0.248494,-1.854477
0.248481,-1.856924
0.248543,-1.856467
0.248467,-1.856300
0.248517,-1.858289
0.248478,-1.857312
0.248574,-1.857326
0.248500,-1.852807
0.248469,-1.850159
0.248432,-1.850969
0.248429,-1.852251
0.248490,-1.854866
0.248457,-1.857465
0.248471,-1.858088
0.248502,-1.858948
0.248528,-1.860583
0.248533,-1.861089
0.248562,-1.861054
0.248509,-1.858171
0.248553,-1.857478
0.248517,-1.856113
0.248466,-1.855406
0.248550,-1.857866
0.248445,-1.857735
0.248449,-1.860806
0.248501,-1.862794
0.248478,-1.863335
0.248482,-1.865512
0.248559,-1.861442
0.248583,-1.857444
0.248506,-1.854207
0.248479,-1.852065
0.248500,-1.855877
0.248577,-1.860395
0.248486,-1.863453
0.248548,-1.862994
0.248466,-1.863606
0.248536,-1.861983
0.248482,-1.859100
0.248512,-1.857783
0.248509,-1.858171
0.248543,-1.858642
0.248481,-1.860383
0.248539,-1.862876
0.248486,-1.863453
0.248478,-1.862053
0.248483,-1.862559
0.248461,-1.864383
0.248450,-1.865936
0.248493,-1.865241
0.248481,-1.864229
0.248458,-1.864771
0.248493,-1.863959
0.248516,-1.863418
0.248498,-1.863182
0.248434,-1.864030
0.248501,-1.864076
0.248525,-1.864817
0.248472,-1.864112
0.248517,-1.865982
0.248501,-1.864076
0.248487,-1.864735
0.248543,-1.865052
0.248493,-1.865241
0.248418,-1.866360
0.248555,-1.866064
0.248515,-1.866370
0.248515,-1.866370
0.248548,-1.867228
0.248530,-1.866993
0.248474,-1.866677
0.248393,-1.868961
0.248464,-1.868230
0.248547,-1.868898
0.248489,-1.867300
0.248481,-1.867182
0.248500,-1.865747
