frame_size = 2000,  actual_sampling_rate/(S/sec) = 200000.000000, carrier/Hz = 19999999.9953 
amplitude,phase/rad
0.246847,-2.847839
0.246934,-2.850527
0.246893,-2.851509
0.246917,-2.849473
0.246865,-2.847602
0.246874,-2.847484
0.246865,-2.847602
0.246809,-2.851794
0.246928,-2.851036
0.246879,-2.849556
0.246882,-2.849946
0.246914,-2.851663
0.246879,-2.855618
0.247009,-2.853840
0.246955,-2.851971
0.246892,-2.845956
0.246829,-2.845103
0.246865,-2.847602
0.246931,-2.848846
0.246855,-2.849011
0.246920,-2.851154
0.246850,-2.852102
0.246886,-2.856399
0.246874,-2.859218
0.246972,-2.858303
0.246878,-2.856518
0.246914,-2.855144
0.246919,-2.854634
0.246918,-2.853344
0.246882,-2.852528
0.246934,-2.851817
0.246889,-2.853309
0.246869,-2.854446
0.246934,-2.855297
0.246893,-2.854990
0.246897,-2.857571
0.246826,-2.857230
0.246866,-2.859336
0.246873,-2.861018
0.246857,-2.859455
0.246878,-2.859608
0.246944,-2.857368
0.246918,-2.857724
0.246923,-2.857215
0.246918,-2.857724
0.246869,-2.859727
0.246884,-2.858199
0.246840,-2.856602
0.246916,-2.856434
0.246864,-2.857146
0.246894,-2.860271
0.246906,-2.861442
0.246855,-2.862155
0.246881,-2.862699
0.246939,-2.861867
0.246889,-2.857690
0.246945,-2.856469
0.246861,-2.856755
0.246923,-2.861205
0.246952,-2.861239
0.246860,-2.861646
0.246843,-2.862784
0.246876,-2.862308
0.246956,-2.864328
0.246843,-2.862784
0.246901,-2.862852
0.246915,-2.861324
0.246876,-2.862308
0.246877,-2.865908
0.246879,-2.867708
0.246889,-2.865280
0.246906,-2.863242
0.246864,-2.861136
0.246911,-2.860933
0.246860,-2.862546
0.246847,-2.864074
0.246889,-2.865280
0.246878,-2.866808
0.246866,-2.867436
0.246914,-2.869031
0.246876,-2.871427
0.246902,-2.869660
0.246942,-2.868165
0.246877,-2.865008
0.246902,-2.865551
0.246923,-2.864804
0.246925,-2.867503
0.246914,-2.869031
0.246832,-2.870222
0.246834,-2.871122
0.246893,-2.868879
0.246886,-2.866689
0.246865,-2.866536
0.246815,-2.866350
0.246914,-2.871340
0.246888,-2.874517
0.246837,-2.877152
0.246917,-2.875958
0.246857,-2.872174
0.246938,-2.870983
0.246928,-2.870203
0.246903,-2.867351
0.246873,-2.865517
0.246901,-2.868760
0.246864,-2.873465
0.246824,-2.878290
0.246830,-2.878681
0.246859,-2.880632
0.246885,-2.881683
0.246898,-2.880035
0.246891,-2.878235
0.246953,-2.877790
0.246885,-2.875026
0.246915,-2.873650
0.246848,-2.873703
0.246893,-2.873498
0.246846,-2.878442
0.246818,-2.881739
0.246856,-2.883570
0.246831,-2.884439
0.246859,-2.880632
0.246969,-2.878960
0.246866,-2.875774
0.246842,-2.876132
0.246914,-2.879796
0.246857,-2.881142
0.246867,-2.884860
0.246890,-2.887440
0.246878,-2.886150
0.246839,-2.886748
0.246841,-2.886239
0.246882,-2.884621
0.246879,-2.881293
0.246849,-2.879342
0.246841,-2.879461
0.246824,-2.882129
0.246942,-2.882256
0.246915,-2.883634
0.246893,-2.885911
0.246917,-2.885552
0.246882,-2.887560
0.246926,-2.884923
0.246896,-2.884892
0.246862,-2.886389
0.246863,-2.889838
0.246889,-2.892417
0.246844,-2.892626
0.246882,-2.891517
0.246791,-2.888486
0.246902,-2.888730
