frame_size = 2000,  actual_sampling_rate/(S/sec) = 200000.000000, carrier/Hz = 19999999.9953 
amplitude,phase/rad
0.260223,-1.419993
0.260225,-1.417621
0.260191,-1.416176
0.260220,-1.419279
0.260256,-1.420724
0.260135,-1.420653
0.260226,-1.423078
0.260266,-1.422034
0.260188,-1.422463
0.260198,-1.421402
0.260118,-1.418745
0.260204,-1.417371
0.260260,-1.415981
0.260278,-1.412549
0.260264,-1.409927
0.260209,-1.409774
0.260185,-1.414036
0.260151,-1.417933
0.260250,-1.424040
0.260251,-1.423211
0.260261,-1.426180
0.260230,-1.422962
0.260195,-1.417603
0.260235,-1.413591
0.260246,-1.411817
0.260250,-1.410988
0.260233,-1.409195
0.260194,-1.410121
0.260242,-1.411933
0.260260,-1.413725
0.260243,-1.414902
0.260269,-1.417291
0.260256,-1.416096
0.260246,-1.414073
0.260233,-1.412878
0.260243,-1.412646
0.260203,-1.412859
0.260230,-1.415963
0.260211,-1.417969
0.260248,-1.417041
0.260271,-1.414207
0.260196,-1.411548
0.260242,-1.408250
0.260247,-1.406708
0.260257,-1.406477
0.260267,-1.406958
0.260143,-1.409138
0.260213,-1.408945
0.260237,-1.408366
0.260228,-1.409311
0.260253,-1.409445
0.260221,-1.411682
0.260198,-1.412975
0.260237,-1.412048
0.260257,-1.407903
0.260256,-1.405763
0.260186,-1.405956
0.260287,-1.405069
0.260253,-1.409445
0.260202,-1.412146
0.260236,-1.414304
0.260268,-1.412780
0.260249,-1.413243
0.260236,-1.411335
0.260223,-1.409427
0.260227,-1.407884
0.260287,-1.407209
0.260216,-1.406689
0.260232,-1.407768
0.260232,-1.408482
0.260232,-1.407055
0.260227,-1.407884
0.260244,-1.409677
0.260286,-1.411604
0.260248,-1.412530
0.260201,-1.411432
0.260263,-1.409214
0.260248,-1.409561
0.260197,-1.408579
0.260159,-1.410218
0.260224,-1.410140
0.260200,-1.410719
0.260263,-1.412896
0.260236,-1.411335
0.260232,-1.407055
0.260211,-1.404664
0.260213,-1.402524
0.260292,-1.404954
0.260231,-1.405628
0.260247,-1.407421
0.260235,-1.410622
0.260201,-1.411432
0.260249,-1.413243
0.260327,-1.414359
0.260263,-1.415152
0.260237,-1.412048
0.260257,-1.407903
0.260207,-1.406920
0.260216,-1.405262
0.260237,-1.408366
0.260209,-1.409774
0.260143,-1.409138
0.260279,-1.409580
0.260197,-1.408579
0.260207,-1.412030
0.260224,-1.413109
0.260200,-1.410719
0.260317,-1.407228
0.260226,-1.405744
0.260237,-1.406939
0.260222,-1.408000
0.260223,-1.409427
0.260182,-1.408212
0.260175,-1.411298
0.260208,-1.412743
0.260209,-1.417255
0.260233,-1.415133
0.260219,-1.413225
0.260250,-1.410988
0.260232,-1.408482
0.260267,-1.407672
0.260236,-1.404799
0.260292,-1.404954
0.260237,-1.406939
0.260227,-1.408597
0.260225,-1.410853
0.260243,-1.412646
0.260252,-1.412414
0.260271,-1.414207
0.260239,-1.413475
0.260238,-1.415017
0.260217,-1.414768
0.260252,-1.412414
0.260315,-1.413878
0.260182,-1.412609
0.260247,-1.414786
0.260233,-1.415133
0.260249,-1.413243
0.260281,-1.411720
0.260183,-1.409639
0.260252,-1.407306
0.260267,-1.405532
0.260246,-1.405995
0.260263,-1.409214
0.260294,-1.409946
0.260281,-1.411720
0.260254,-1.413128
0.260232,-1.412164
0.260198,-1.412975
0.260185,-1.414036
0.260236,-1.414304
0.260189,-1.413207
0.260233,-1.412878
0.260189,-1.413207
0.260197,-1.412262
0.260166,-1.411529
0.260231,-1.411451
0.260248,-1.408848
0.260152,-1.408193
0.260173,-1.409871
0.260254,-1.410159
0.260286,-1.411604
0.260181,-1.414152
0.260193,-1.415347
0.260311,-1.413993
0.260198,-1.415231
0.260193,-1.416890
0.260184,-1.415579
0.260208,-1.412743
0.260314,-1.410196
0.260258,-1.408616
0.260133,-1.409370
0.260267,-1.412067
0.260191,-1.411664
0.260261,-1.411469
0.260190,-1.410950
0.260263,-1.408501
0.260115,-1.411261
0.260156,-1.411761
0.260269,-1.413493
0.260256,-1.416096
0.260193,-1.416890
0.260174,-1.417353
0.260281,-1.413975
0.260204,-1.410603
0.260207,-1.407634
0.260274,-1.409696
0.260204,-1.410603
0.260179,-1.410469
0.260205,-1.411316
0.260210,-1.411201
0.260235,-1.410622
0.260234,-1.409908
0.260248,-1.408848
0.260239,-1.409793
0.260236,-1.411335
0.260200,-1.413688
0.260224,-1.415365
0.260290,-1.413743
0.260272,-1.411951
0.260192,-1.414633
0.260219,-1.413225
0.260274,-1.413378
0.260201,-1.411432
0.260218,-1.408829
0.260272,-1.406843
0.260292,-1.405667
0.260247,-1.404568
0.260257,-1.402910
0.260202,-1.407036
0.260272,-1.408269
0.260249,-1.410274
0.260237,-1.412048
0.260254,-1.413128
0.260221,-1.416194
0.260243,-1.414902
0.260233,-1.415133
0.260266,-1.411354
0.260158,-1.409505
0.260167,-1.408560
0.260217,-1.407402
0.260217,-1.408116
0.260288,-1.408635
0.260173,-1.409871
0.260263,-1.412896
0.260228,-1.412993
0.260214,-1.413341
0.260272,-1.411951
0.260250,-1.410988
0.260157,-1.412475
0.260239,-1.413475
0.260219,-1.413225
0.260274,-1.409696
0.260227,-1.407884
0.260202,-1.408463
0.260164,-1.410102
0.260234,-1.409908
0.260214,-1.410372
0.260168,-1.412957
0.260228,-1.412993
0.260136,-1.414481
0.260227,-1.412280
0.260247,-1.408135
0.260176,-1.405474
0.260216,-1.405262
0.260213,-1.408945
0.260284,-1.413146
0.260222,-1.414652
0.260282,-1.414688
0.260220,-1.413938
0.260191,-1.411664
0.260163,-1.409389
0.260227,-1.407884
0.260277,-1.406727
0.260232,-1.407768
0.260249,-1.410274
0.260228,-1.412993
0.260143,-1.415079
0.260209,-1.415713
0.260185,-1.414036
0.260190,-1.410950
0.260303,-1.408288
0.260237,-1.407653
0.260223,-1.409427
0.260179,-1.410469
0.260207,-1.412030
0.260210,-1.411201
0.260197,-1.412262
0.260181,-1.411896
0.260188,-1.409524
0.260223,-1.409427
