frame_size = 2000,  actual_sampling_rate/(S/sec) = 200000.000000, carrier/Hz = 19999999.9953 
amplitude,phase/rad
0.247208,-3.044283
0.247249,-3.045166
0.247235,-3.043177
0.247284,-3.042452
0.247250,-3.042563
0.247270,-3.045547
0.247290,-3.047290
0.247199,-3.047255
0.247214,-3.046641
0.247238,-3.046898
0.247221,-3.047636
0.247211,-3.046764
0.247208,-3.044283
0.247308,-3.041470
0.247202,-3.039565
0.247238,-3.040573
0.247284,-3.042452
0.247205,-3.043165
0.247288,-3.044810
0.247289,-3.046050
0.247234,-3.045781
0.247254,-3.044921
0.247267,-3.045670
0.247281,-3.041335
0.247363,-3.042980
0.247254,-3.044921
0.247241,-3.042931
0.247244,-3.042808
0.247299,-3.041838
0.247244,-3.042808
0.247290,-3.042206
0.247323,-3.043336
0.247199,-3.042170
0.247223,-3.041187
0.247278,-3.040217
0.247238,-3.043054
0.247285,-3.047536
0.247192,-3.048865
0.247207,-3.048250
0.247206,-3.045646
0.247265,-3.041949
0.247223,-3.039946
0.247255,-3.038718
0.247297,-3.039480
0.247263,-3.040831
0.247253,-3.042440
0.247256,-3.041077
0.247278,-3.041457
0.247226,-3.041064
0.247232,-3.040819
0.247190,-3.041297
0.247193,-3.041175
0.247250,-3.042563
0.247191,-3.045020
0.247169,-3.043398
0.247221,-3.045032
0.247269,-3.044306
0.247254,-3.043680
0.247285,-3.044933
0.247251,-3.043803
0.247243,-3.045412
0.247246,-3.045289
0.247256,-3.042317
0.247221,-3.038829
0.247304,-3.035637
0.247203,-3.035966
0.247224,-3.036347
0.247241,-3.036851
0.247230,-3.039701
0.247263,-3.044552
0.247261,-3.045915
0.247232,-3.047144
0.247279,-3.045178
0.247259,-3.040954
0.247303,-3.039235
0.247256,-3.037478
0.247171,-3.034835
0.247251,-3.033007
0.247184,-3.034344
0.247224,-3.036347
0.247277,-3.037859
0.247162,-3.041162
0.247184,-3.042784
0.247150,-3.042895
0.247233,-3.044540
0.247169,-3.044639
0.247263,-3.044552
0.247285,-3.044933
0.247266,-3.043189
0.247171,-3.042035
0.247180,-3.041666
0.247244,-3.041568
0.247257,-3.039836
0.247262,-3.037233
0.247227,-3.039824
0.247171,-3.040794
0.247184,-3.039062
0.247256,-3.037478
0.247200,-3.036089
0.247329,-3.037013
0.247243,-3.037969
0.247304,-3.037995
0.247200,-3.038448
0.247153,-3.040290
0.247205,-3.041924
0.247339,-3.040242
0.247272,-3.039222
0.247253,-3.041199
0.247279,-3.038977
0.247266,-3.039468
0.247182,-3.037944
0.247227,-3.038583
0.247230,-3.039701
0.247184,-3.040302
0.247247,-3.042685
0.247193,-3.039934
0.247238,-3.041813
0.247238,-3.041813
0.247211,-3.042919
0.247226,-3.043545
0.247317,-3.041101
0.247229,-3.040941
0.247284,-3.036373
0.247273,-3.035624
0.247259,-3.034997
0.247201,-3.037207
0.247232,-3.042059
0.247250,-3.041322
0.247266,-3.043189
0.247272,-3.041703
0.247229,-3.040941
0.247162,-3.042403
0.247284,-3.042452
0.247272,-3.041703
0.247245,-3.040327
0.247230,-3.038460
0.247198,-3.037330
0.247197,-3.036212
0.247277,-3.037859
0.247202,-3.039565
0.247244,-3.041568
0.247278,-3.041457
0.247175,-3.043153
0.247183,-3.041543
0.247250,-3.041322
0.247181,-3.042907
0.247196,-3.041052
0.247278,-3.042698
0.247214,-3.040315
0.247205,-3.040683
0.247199,-3.039688
0.247208,-3.040560
0.247264,-3.045793
0.247230,-3.047267
0.247191,-3.047624
0.247260,-3.043435
0.247272,-3.042943
0.247217,-3.041433
0.247233,-3.039578
0.247187,-3.040180
0.247187,-3.042661
0.247241,-3.041691
0.247223,-3.042428
0.247162,-3.042403
0.247245,-3.040327
0.247263,-3.040831
0.247248,-3.043926
0.247282,-3.045055
0.247266,-3.043189
0.247317,-3.042341
0.247250,-3.042563
0.247204,-3.045769
0.247296,-3.047045
0.247271,-3.046787
0.247132,-3.048842
0.247198,-3.049983
0.247264,-3.045793
0.247212,-3.045400
0.247217,-3.042673
0.247287,-3.039849
0.247226,-3.042305
0.247214,-3.044037
0.247207,-3.048250
0.247186,-3.050474
0.247236,-3.052352
0.247209,-3.049491
0.247218,-3.047759
0.247270,-3.048150
0.247253,-3.048888
0.247250,-3.049011
0.247280,-3.050385
0.247187,-3.049111
0.247156,-3.050463
0.247250,-3.051737
0.247261,-3.049882
0.247265,-3.048396
0.247196,-3.047378
0.247199,-3.047255
0.247224,-3.047513
0.247250,-3.050374
0.247250,-3.051737
0.247297,-3.052374
0.247242,-3.052106
0.247256,-3.051492
0.247275,-3.050631
0.247286,-3.052866
0.247231,-3.052598
