frame_size = 8000,  actual_sampling_rate/(S/sec) = 2000000.000000, carrier/Hz = 19999999.9953 
timestamp,amplitude,phase/rad
9/9/2021  16:12:47.327196,9.926758E-4,-2.356194E+0
9/9/2021  16:12:47.327196,9.650828E-4,-2.536048E+0
9/9/2021  16:12:47.327197,9.827747E-4,-2.510513E+0
9/9/2021  16:12:47.327197,1.001084E-3,-2.485897E+0
9/9/2021  16:12:47.327198,1.122985E-3,-2.394637E+0
9/9/2021  16:12:47.327198,8.739197E-4,-2.709185E+0
9/9/2021  16:12:47.327199,9.160664E-4,-2.618314E+0
9/9/2021  16:12:47.327199,1.007576E-3,-2.528385E+0
9/9/2021  16:12:47.327200,8.728532E-4,-2.505084E+0
9/9/2021  16:12:47.327200,1.079858E-3,-2.396173E+0
9/9/2021  16:12:47.327201,8.642746E-4,-2.406153E+0
9/9/2021  16:12:47.327201,1.102478E-3,-2.414950E+0
9/9/2021  16:12:47.327202,1.083733E-3,-2.577023E+0
9/9/2021  16:12:47.327202,8.728532E-4,-2.505084E+0
9/9/2021  16:12:47.327203,7.780746E-4,-2.300696E+0
9/9/2021  16:12:47.327203,9.504963E-4,-2.401618E+0
9/9/2021  16:12:47.327204,1.059395E-3,-2.417343E+0
9/9/2021  16:12:47.327204,7.025909E-4,-2.170847E+0
9/9/2021  16:12:47.327205,9.770719E-4,-2.466852E+0
9/9/2021  16:12:47.327205,1.052339E-3,-2.626044E+0
9/9/2021  16:12:47.327206,8.211715E-4,-2.408778E+0
9/9/2021  16:12:47.327206,8.245671E-4,-2.251318E+0
9/9/2021  16:12:47.327207,7.768767E-4,-2.356194E+0
9/9/2021  16:12:47.327207,7.349852E-4,-2.414950E+0
9/9/2021  16:12:47.327208,8.010769E-4,-2.437099E+0
9/9/2021  16:12:47.327208,8.897624E-4,-2.601173E+0
9/9/2021  16:12:47.327209,9.401512E-4,-2.517570E+0
9/9/2021  16:12:47.327209,9.073832E-4,-2.403778E+0
9/9/2021  16:12:47.327210,9.301916E-4,-2.425849E+0
9/9/2021  16:12:47.327210,7.450539E-4,-2.530867E+0
9/9/2021  16:12:47.327211,8.871416E-4,-2.283154E+0
9/9/2021  16:12:47.327211,1.145566E-3,-2.299651E+0
9/9/2021  16:12:47.327212,9.063561E-4,-2.356194E+0
9/9/2021  16:12:47.327212,7.580662E-4,-2.441700E+0
9/9/2021  16:12:47.327213,9.504963E-4,-2.401618E+0
9/9/2021  16:12:47.327213,1.148813E-3,-2.450256E+0
9/9/2021  16:12:47.327214,1.083733E-3,-2.577023E+0
9/9/2021  16:12:47.327214,8.126204E-4,-2.169215E+0
9/9/2021  16:12:47.327215,9.058422E-4,-2.140110E+0
9/9/2021  16:12:47.327215,1.086736E-3,-2.236766E+0
9/9/2021  16:12:47.327216,8.675015E-4,-2.455863E+0
9/9/2021  16:12:47.327216,9.073832E-4,-2.403778E+0
9/9/2021  16:12:47.327217,1.062906E-3,-2.457883E+0
9/9/2021  16:12:47.327217,9.650828E-4,-2.536048E+0
9/9/2021  16:12:47.327218,1.039426E-3,-2.439336E+0
9/9/2021  16:12:47.327218,9.996879E-4,-2.595938E+0
9/9/2021  16:12:47.327219,9.421304E-4,-2.706922E+0
9/9/2021  16:12:47.327219,8.975789E-4,-2.525296E+0
9/9/2021  16:12:47.327220,1.057636E-3,-2.376600E+0
9/9/2021  16:12:47.327220,9.155579E-4,-2.498092E+0
9/9/2021  16:12:47.327221,9.012034E-4,-2.647651E+0
9/9/2021  16:12:47.327221,9.534315E-4,-2.446854E+0
9/9/2021  16:12:47.327222,7.958277E-4,-2.574863E+0
9/9/2021  16:12:47.327222,7.987481E-4,-2.383215E+0
9/9/2021  16:12:47.327223,8.642746E-4,-2.406153E+0
9/9/2021  16:12:47.327223,9.281869E-4,-2.332943E+0
9/9/2021  16:12:47.327224,9.073832E-4,-2.403778E+0
9/9/2021  16:12:47.327224,9.480434E-4,-2.562518E+0
9/9/2021  16:12:47.327225,9.281869E-4,-2.379446E+0
9/9/2021  16:12:47.327225,9.104573E-4,-2.451146E+0
9/9/2021  16:12:47.327226,8.675015E-4,-2.455863E+0
9/9/2021  16:12:47.327226,8.913312E-4,-2.234842E+0
9/9/2021  16:12:47.327227,8.850393E-4,-2.380580E+0
9/9/2021  16:12:47.327227,8.301956E-4,-2.199593E+0
9/9/2021  16:12:47.327228,8.631963E-4,-2.356194E+0
9/9/2021  16:12:47.327228,7.875927E-4,-2.191046E+0
9/9/2021  16:12:47.327229,8.418930E-4,-2.381830E+0
9/9/2021  16:12:47.327229,7.234903E-4,-2.659079E+0
9/9/2021  16:12:47.327230,8.850393E-4,-2.331809E+0
9/9/2021  16:12:47.327230,1.016320E-3,-2.419938E+0
9/9/2021  16:12:47.327231,1.025443E-3,-2.504044E+0
9/9/2021  16:12:47.327231,8.675015E-4,-2.455863E+0
9/9/2021  16:12:47.327232,9.713356E-4,-2.333976E+0
9/9/2021  16:12:47.327232,8.728532E-4,-2.505084E+0
9/9/2021  16:12:47.327233,8.245671E-4,-2.461071E+0
9/9/2021  16:12:47.327233,1.036734E-3,-2.397837E+0
9/9/2021  16:12:47.327234,9.504963E-4,-2.401618E+0
9/9/2021  16:12:47.327234,6.959311E-4,-2.480549E+0
9/9/2021  16:12:47.327235,9.226515E-4,-2.544416E+0
9/9/2021  16:12:47.327235,1.041664E-3,-2.586099E+0
9/9/2021  16:12:47.327236,1.036734E-3,-2.397837E+0
9/9/2021  16:12:47.327236,9.650828E-4,-2.536048E+0
9/9/2021  16:12:47.327237,9.104573E-4,-2.451146E+0
9/9/2021  16:12:47.327237,1.041664E-3,-2.586099E+0
9/9/2021  16:12:47.327238,8.057141E-4,-2.490516E+0
9/9/2021  16:12:47.327238,9.732514E-4,-2.422763E+0
9/9/2021  16:12:47.327239,8.418930E-4,-2.330559E+0
9/9/2021  16:12:47.327239,8.871416E-4,-2.283154E+0
9/9/2021  16:12:47.327240,1.135357E-3,-2.508844E+0
9/9/2021  16:12:47.327240,9.827747E-4,-2.510513E+0
9/9/2021  16:12:47.327241,1.105852E-3,-2.453921E+0
9/9/2021  16:12:47.327241,9.732514E-4,-2.289626E+0
9/9/2021  16:12:47.327242,9.495159E-4,-2.356194E+0
9/9/2021  16:12:47.327242,1.079858E-3,-2.316216E+0
9/9/2021  16:12:47.327243,9.063561E-4,-2.356194E+0
9/9/2021  16:12:47.327243,8.057141E-4,-2.490516E+0
9/9/2021  16:12:47.327244,7.450539E-4,-2.530867E+0
9/9/2021  16:12:47.327244,1.039426E-3,-2.439336E+0
9/9/2021  16:12:47.327245,8.850393E-4,-2.331809E+0
9/9/2021  16:12:47.327245,6.824166E-4,-2.677945E+0
9/9/2021  16:12:47.327246,6.437905E-4,-2.593043E+0
9/9/2021  16:12:47.327246,8.329956E-4,-2.645170E+0
9/9/2021  16:12:47.327247,1.075104E-3,-2.537843E+0
9/9/2021  16:12:47.327247,7.987481E-4,-2.383215E+0
9/9/2021  16:12:47.327248,7.987481E-4,-2.383215E+0
9/9/2021  16:12:47.327248,9.650828E-4,-2.536048E+0
9/9/2021  16:12:47.327249,9.495159E-4,-2.356194E+0
9/9/2021  16:12:47.327249,8.200365E-4,-2.356194E+0
9/9/2021  16:12:47.327250,9.770719E-4,-2.466852E+0
9/9/2021  16:12:47.327250,1.025897E-3,-2.611377E+0
9/9/2021  16:12:47.327251,8.418930E-4,-2.381830E+0
9/9/2021  16:12:47.327251,8.301956E-4,-2.512796E+0
9/9/2021  16:12:47.327252,9.713356E-4,-2.378413E+0
9/9/2021  16:12:47.327252,8.850393E-4,-2.331809E+0
9/9/2021  16:12:47.327253,8.380120E-4,-2.563691E+0
9/9/2021  16:12:47.327253,9.770719E-4,-2.466852E+0
9/9/2021  16:12:47.327254,8.200365E-4,-2.356194E+0
9/9/2021  16:12:47.327254,9.936136E-4,-2.399645E+0
9/9/2021  16:12:47.327255,8.850393E-4,-2.380580E+0
9/9/2021  16:12:47.327255,6.057769E-4,-2.427502E+0
9/9/2021  16:12:47.327256,8.871416E-4,-2.429235E+0
9/9/2021  16:12:47.327256,9.827747E-4,-2.510513E+0
9/9/2021  16:12:47.327257,8.200365E-4,-2.356194E+0
9/9/2021  16:12:47.327257,9.553832E-4,-2.677945E+0
9/9/2021  16:12:47.327258,7.450539E-4,-2.530867E+0
9/9/2021  16:12:47.327258,7.958277E-4,-2.574863E+0
9/9/2021  16:12:47.327259,9.145401E-4,-2.692869E+0
9/9/2021  16:12:47.327259,9.155579E-4,-2.498092E+0
9/9/2021  16:12:47.327260,8.802910E-4,-2.553590E+0
9/9/2021  16:12:47.327260,7.124638E-4,-2.325901E+0
9/9/2021  16:12:47.327261,9.936136E-4,-2.399645E+0
9/9/2021  16:12:47.327261,8.642746E-4,-2.406153E+0
9/9/2021  16:12:47.327262,8.301956E-4,-2.512796E+0
9/9/2021  16:12:47.327262,9.827747E-4,-2.510513E+0
9/9/2021  16:12:47.327263,7.556050E-4,-2.384758E+0
9/9/2021  16:12:47.327263,7.816575E-4,-2.466852E+0
9/9/2021  16:12:47.327264,9.495159E-4,-2.356194E+0
9/9/2021  16:12:47.327264,8.418930E-4,-2.330559E+0
9/9/2021  16:12:47.327265,8.245671E-4,-2.461071E+0
9/9/2021  16:12:47.327265,1.036734E-3,-2.314552E+0
9/9/2021  16:12:47.327266,9.480434E-4,-2.562518E+0
9/9/2021  16:12:47.327266,6.858202E-4,-2.578276E+0
9/9/2021  16:12:47.327267,8.329956E-4,-2.645170E+0
9/9/2021  16:12:47.327267,8.675015E-4,-2.455863E+0
9/9/2021  16:12:47.327268,6.905570E-4,-2.356194E+0
9/9/2021  16:12:47.327268,7.234903E-4,-2.659079E+0
9/9/2021  16:12:47.327269,9.160664E-4,-2.618314E+0
9/9/2021  16:12:47.327269,9.964217E-4,-2.442933E+0
9/9/2021  16:12:47.327270,9.732514E-4,-2.422763E+0
9/9/2021  16:12:47.327270,8.871416E-4,-2.429235E+0
9/9/2021  16:12:47.327271,8.850393E-4,-2.331809E+0
9/9/2021  16:12:47.327271,9.713356E-4,-2.333976E+0
9/9/2021  16:12:47.327272,8.675015E-4,-2.455863E+0
9/9/2021  16:12:47.327272,9.903273E-4,-2.553590E+0
9/9/2021  16:12:47.327273,7.875927E-4,-2.521343E+0
9/9/2021  16:12:47.327273,8.728532E-4,-2.505084E+0
9/9/2021  16:12:47.327274,8.802910E-4,-2.553590E+0
9/9/2021  16:12:47.327274,8.211715E-4,-2.408778E+0
9/9/2021  16:12:47.327275,9.713356E-4,-2.333976E+0
9/9/2021  16:12:47.327275,6.700205E-4,-2.616797E+0
9/9/2021  16:12:47.327276,7.556050E-4,-2.327631E+0
9/9/2021  16:12:47.327276,1.016320E-3,-2.292451E+0
9/9/2021  16:12:47.327277,8.631963E-4,-2.356194E+0
9/9/2021  16:12:47.327277,7.702546E-4,-2.158799E+0
9/9/2021  16:12:47.327278,9.155579E-4,-2.498092E+0
9/9/2021  16:12:47.327278,9.534315E-4,-2.446854E+0
9/9/2021  16:12:47.327279,7.349852E-4,-2.414950E+0
9/9/2021  16:12:47.327279,8.550655E-4,-2.533791E+0
9/9/2021  16:12:47.327280,1.039426E-3,-2.439336E+0
9/9/2021  16:12:47.327280,9.012034E-4,-2.647651E+0
9/9/2021  16:12:47.327281,8.418930E-4,-2.381830E+0
9/9/2021  16:12:47.327281,8.728532E-4,-2.505084E+0
9/9/2021  16:12:47.327282,7.150736E-4,-2.446854E+0
9/9/2021  16:12:47.327282,7.816575E-4,-2.466852E+0
9/9/2021  16:12:47.327283,8.301956E-4,-2.512796E+0
9/9/2021  16:12:47.327283,9.301916E-4,-2.425849E+0
9/9/2021  16:12:47.327284,7.958276E-4,-2.574863E+0
9/9/2021  16:12:47.327284,8.850393E-4,-2.380580E+0
9/9/2021  16:12:47.327285,8.211715E-4,-2.303611E+0
9/9/2021  16:12:47.327285,9.495159E-4,-2.356194E+0
9/9/2021  16:12:47.327286,9.936136E-4,-2.312744E+0
9/9/2021  16:12:47.327286,1.032684E-3,-2.545394E+0
9/9/2021  16:12:47.327287,9.583034E-4,-2.491722E+0
9/9/2021  16:12:47.327287,9.534315E-4,-2.446854E+0
9/9/2021  16:12:47.327288,8.211715E-4,-2.408778E+0
9/9/2021  16:12:47.327288,9.073832E-4,-2.403778E+0
9/9/2021  16:12:47.327289,8.975789E-4,-2.830594E+0
9/9/2021  16:12:47.327289,7.537538E-4,-2.587285E+0
9/9/2021  16:12:47.327290,7.780746E-4,-2.300696E+0
9/9/2021  16:12:47.327290,7.798681E-4,-2.607884E+0
9/9/2021  16:12:47.327291,8.728532E-4,-2.505084E+0
9/9/2021  16:12:47.327291,9.926758E-4,-2.356194E+0
9/9/2021  16:12:47.327292,1.019979E-3,-2.462179E+0
9/9/2021  16:12:47.327292,7.780746E-4,-2.411693E+0
9/9/2021  16:12:47.327293,7.780746E-4,-2.300696E+0
9/9/2021  16:12:47.327293,9.341882E-4,-2.471954E+0
9/9/2021  16:12:47.327294,1.015861E-3,-2.570255E+0
9/9/2021  16:12:47.327294,8.637356E-4,-2.582993E+0
9/9/2021  16:12:47.327295,9.534315E-4,-2.446854E+0
9/9/2021  16:12:47.327295,1.092719E-3,-2.514850E+0
9/9/2021  16:12:47.327296,1.078995E-3,-2.639989E+0
9/9/2021  16:12:47.327296,9.732514E-4,-2.422763E+0
9/9/2021  16:12:47.327297,8.010769E-4,-2.275290E+0
9/9/2021  16:12:47.327297,8.599532E-4,-2.662073E+0
9/9/2021  16:12:47.327298,9.926758E-4,-2.356194E+0
9/9/2021  16:12:47.327298,1.019979E-3,-2.462179E+0
9/9/2021  16:12:47.327299,8.675015E-4,-2.455863E+0
9/9/2021  16:12:47.327299,8.728532E-4,-2.207305E+0
9/9/2021  16:12:47.327300,8.897624E-4,-2.601173E+0
9/9/2021  16:12:47.327300,1.032684E-3,-2.545394E+0
9/9/2021  16:12:47.327301,8.871416E-4,-2.283154E+0
9/9/2021  16:12:47.327301,8.211715E-4,-2.408778E+0
9/9/2021  16:12:47.327302,9.480434E-4,-2.562518E+0
9/9/2021  16:12:47.327302,1.007576E-3,-2.528385E+0
9/9/2021  16:12:47.327303,9.504963E-4,-2.401618E+0
9/9/2021  16:12:47.327303,6.693251E-4,-2.388441E+0
9/9/2021  16:12:47.327304,9.058422E-4,-2.572279E+0
9/9/2021  16:12:47.327304,9.281869E-4,-2.379446E+0
9/9/2021  16:12:47.327305,9.341882E-4,-2.471954E+0
9/9/2021  16:12:47.327305,7.875927E-4,-2.521343E+0
9/9/2021  16:12:47.327306,8.675015E-4,-2.455863E+0
9/9/2021  16:12:47.327306,9.301916E-4,-2.286540E+0
9/9/2021  16:12:47.327307,7.629650E-4,-2.498092E+0
9/9/2021  16:12:47.327307,8.211715E-4,-2.408778E+0
9/9/2021  16:12:47.327308,1.125470E-3,-2.432966E+0
9/9/2021  16:12:47.327308,8.010769E-4,-2.437099E+0
9/9/2021  16:12:47.327309,7.381464E-4,-2.622447E+0
9/9/2021  16:12:47.327309,7.556050E-4,-2.327631E+0
9/9/2021  16:12:47.327310,7.349852E-4,-2.297439E+0
9/9/2021  16:12:47.327310,9.694160E-4,-2.649783E+0
9/9/2021  16:12:47.327311,9.401512E-4,-2.517570E+0
9/9/2021  16:12:47.327311,9.480434E-4,-2.562518E+0
9/9/2021  16:12:47.327312,9.770719E-4,-2.466852E+0
9/9/2021  16:12:47.327312,8.637356E-4,-2.582993E+0
9/9/2021  16:12:47.327313,7.580662E-4,-2.441700E+0
9/9/2021  16:12:47.327313,7.337169E-4,-2.356194E+0
9/9/2021  16:12:47.327314,8.200365E-4,-2.356194E+0
9/9/2021  16:12:47.327314,8.675015E-4,-2.455863E+0
9/9/2021  16:12:47.327315,1.079858E-3,-2.396173E+0
9/9/2021  16:12:47.327315,9.903273E-4,-2.553590E+0
9/9/2021  16:12:47.327316,8.728532E-4,-2.505084E+0
9/9/2021  16:12:47.327316,8.211715E-4,-2.303611E+0
9/9/2021  16:12:47.327317,9.926758E-4,-2.356194E+0
9/9/2021  16:12:47.327317,9.827747E-4,-2.510513E+0
9/9/2021  16:12:47.327318,9.058422E-4,-2.572279E+0
9/9/2021  16:12:47.327318,9.058422E-4,-2.572279E+0
9/9/2021  16:12:47.327319,8.057141E-4,-2.490516E+0
9/9/2021  16:12:47.327319,9.737298E-4,-2.579671E+0
9/9/2021  16:12:47.327320,8.642746E-4,-2.306236E+0
9/9/2021  16:12:47.327320,9.155579E-4,-2.498092E+0
9/9/2021  16:12:47.327321,7.580662E-4,-2.441700E+0
9/9/2021  16:12:47.327321,6.693251E-4,-2.388441E+0
