frame_size = 8000,  actual_sampling_rate/(S/sec) = 2000000.000000, carrier/Hz = 19999999.9953 
timestamp,amplitude,phase/rad
9/9/2021  15:54:27.510676,9.058422E-4,-1.001483E+0
9/9/2021  15:54:27.510676,7.387770E-4,-9.025069E-1
9/9/2021  15:54:27.510677,8.485048E-4,-9.129077E-1
9/9/2021  15:54:27.510677,9.316924E-4,-1.019141E+0
9/9/2021  15:54:27.510678,8.380120E-4,-9.928944E-1
9/9/2021  15:54:27.510678,9.737298E-4,-1.008875E+0
9/9/2021  15:54:27.510679,1.025443E-3,-9.332475E-1
9/9/2021  15:54:27.510679,9.964217E-4,-8.721365E-1
9/9/2021  15:54:27.510680,7.537538E-4,-1.016489E+0
9/9/2021  15:54:27.510680,1.039426E-3,-8.685394E-1
9/9/2021  15:54:27.510681,9.180976E-4,-1.196463E+0
9/9/2021  15:54:27.510681,1.025897E-3,-1.040581E+0
9/9/2021  15:54:27.510682,1.025897E-3,-1.173717E+0
9/9/2021  15:54:27.510682,9.694160E-4,-1.078987E+0
9/9/2021  15:54:27.510683,1.160108E-3,-9.536049E-1
9/9/2021  15:54:27.510683,8.441027E-4,-8.621701E-1
9/9/2021  15:54:27.510684,8.485048E-4,-9.129077E-1
9/9/2021  15:54:27.510684,9.480434E-4,-9.917221E-1
9/9/2021  15:54:27.510685,9.553832E-4,-1.107149E+0
9/9/2021  15:54:27.510685,8.126204E-4,-9.723774E-1
9/9/2021  15:54:27.510686,8.802910E-4,-9.827937E-1
9/9/2021  15:54:27.510686,9.341882E-4,-9.011574E-1
9/9/2021  15:54:27.510687,6.011467E-4,-1.152572E+0
9/9/2021  15:54:27.510687,7.580662E-4,-8.709035E-1
9/9/2021  15:54:27.510688,9.534315E-4,-8.760581E-1
9/9/2021  15:54:27.510688,9.421304E-4,-1.136126E+0
9/9/2021  15:54:27.510689,7.958277E-4,-1.004067E+0
9/9/2021  15:54:27.510689,7.580662E-4,-8.709035E-1
9/9/2021  15:54:27.510690,9.737298E-4,-1.008875E+0
9/9/2021  15:54:27.510690,1.019979E-3,-8.913825E-1
9/9/2021  15:54:27.510691,8.188999E-4,-1.107149E+0
9/9/2021  15:54:27.510691,8.675015E-4,-8.850668E-1
9/9/2021  15:54:27.510692,9.964217E-4,-8.721365E-1
9/9/2021  15:54:27.510692,8.441027E-4,-8.621701E-1
9/9/2021  15:54:27.510693,9.104573E-4,-8.803499E-1
9/9/2021  15:54:27.510693,7.917209E-4,-1.089909E+0
