frame_size = 8000,  actual_sampling_rate/(S/sec) = 2000000.000000, carrier/Hz = 19999999.9953 
timestamp,amplitude,phase/rad
9/9/2021  16:12:37.626311,9.732514E-4,-2.289626E+0
9/9/2021  16:12:37.626312,1.083733E-3,-2.135366E+0
9/9/2021  16:12:37.626312,9.058422E-4,-2.140110E+0
9/9/2021  16:12:37.626313,9.155579E-4,-2.214297E+0
9/9/2021  16:12:37.626313,1.023625E-3,-2.034444E+0
9/9/2021  16:12:37.626314,9.480434E-4,-2.149871E+0
9/9/2021  16:12:37.626314,8.010769E-4,-2.275290E+0
9/9/2021  16:12:37.626315,8.975789E-4,-2.187093E+0
9/9/2021  16:12:37.626315,7.875927E-4,-2.191046E+0
9/9/2021  16:12:37.626316,7.702546E-4,-2.158799E+0
9/9/2021  16:12:37.626316,9.534315E-4,-2.265535E+0
9/9/2021  16:12:37.626317,1.014485E-3,-2.334921E+0
9/9/2021  16:12:37.626317,1.210400E-3,-2.158799E+0
9/9/2021  16:12:37.626318,1.258314E-3,-2.253113E+0
9/9/2021  16:12:37.626318,8.675015E-4,-2.256526E+0
9/9/2021  16:12:37.626319,1.142717E-3,-2.166206E+0
9/9/2021  16:12:37.626319,1.082443E-3,-2.276365E+0
9/9/2021  16:12:37.626320,9.903273E-4,-2.158799E+0
9/9/2021  16:12:37.626320,9.827747E-4,-2.201876E+0
9/9/2021  16:12:37.626321,1.007576E-3,-2.184004E+0
9/9/2021  16:12:37.626321,1.050124E-3,-2.191046E+0
9/9/2021  16:12:37.626322,1.105852E-3,-2.059130E+0
9/9/2021  16:12:37.626322,9.226515E-4,-2.167973E+0
9/9/2021  16:12:37.626323,8.010769E-4,-2.275290E+0
9/9/2021  16:12:37.626323,1.148813E-3,-2.262133E+0
9/9/2021  16:12:37.626324,9.578173E-4,-2.105751E+0
9/9/2021  16:12:37.626324,8.380120E-4,-2.148698E+0
9/9/2021  16:12:37.626325,1.068151E-3,-2.214297E+0
9/9/2021  16:12:37.626325,8.329956E-4,-2.067219E+0
9/9/2021  16:12:37.626326,9.281869E-4,-2.049149E+0
9/9/2021  16:12:37.626326,1.025897E-3,-2.101012E+0
9/9/2021  16:12:37.626327,8.211715E-4,-2.408778E+0
9/9/2021  16:12:37.626327,1.041664E-3,-2.126290E+0
9/9/2021  16:12:37.626328,9.737298E-4,-2.132718E+0
9/9/2021  16:12:37.626328,1.064657E-3,-2.047264E+0
9/9/2021  16:12:37.626329,1.086736E-3,-2.236766E+0
9/9/2021  16:12:37.626329,8.010769E-4,-2.275290E+0
9/9/2021  16:12:37.626330,9.316924E-4,-2.122451E+0
9/9/2021  16:12:37.626330,1.178034E-3,-2.209116E+0
9/9/2021  16:12:37.626331,1.037632E-3,-2.060754E+0
9/9/2021  16:12:37.626331,8.126204E-4,-2.169215E+0
9/9/2021  16:12:37.626332,9.426246E-4,-2.077895E+0
9/9/2021  16:12:37.626332,8.975789E-4,-2.187093E+0
9/9/2021  16:12:37.626333,7.768767E-4,-2.356194E+0
9/9/2021  16:12:37.626333,1.001084E-3,-2.226492E+0
9/9/2021  16:12:37.626334,1.014485E-3,-1.940130E+0
9/9/2021  16:12:37.626334,8.975789E-4,-2.187093E+0
9/9/2021  16:12:37.626335,8.739197E-4,-2.003204E+0
9/9/2021  16:12:37.626335,9.694160E-4,-2.062606E+0
9/9/2021  16:12:37.626336,9.301916E-4,-2.286540E+0
9/9/2021  16:12:37.626336,9.936136E-4,-2.312744E+0
9/9/2021  16:12:37.626337,7.098445E-4,-2.015216E+0
9/9/2021  16:12:37.626337,8.217384E-4,-1.951303E+0
9/9/2021  16:12:37.626338,1.082443E-3,-2.276365E+0
9/9/2021  16:12:37.626338,9.713356E-4,-2.333976E+0
9/9/2021  16:12:37.626339,1.122985E-3,-2.317752E+0
9/9/2021  16:12:37.626339,1.036734E-3,-2.314552E+0
9/9/2021  16:12:37.626340,9.996879E-4,-2.116451E+0
9/9/2021  16:12:37.626340,9.553832E-4,-2.034444E+0
9/9/2021  16:12:37.626341,9.073832E-4,-2.403778E+0
9/9/2021  16:12:37.626341,9.534315E-4,-2.265535E+0
9/9/2021  16:12:37.626342,9.058422E-4,-2.140110E+0
9/9/2021  16:12:37.626342,9.926758E-4,-2.356194E+0
9/9/2021  16:12:37.626343,1.172486E-3,-2.245537E+0
9/9/2021  16:12:37.626343,9.713356E-4,-2.333976E+0
9/9/2021  16:12:37.626344,1.014485E-3,-2.377468E+0
9/9/2021  16:12:37.626344,9.964217E-4,-2.269456E+0
9/9/2021  16:12:37.626345,9.426246E-4,-2.077895E+0
9/9/2021  16:12:37.626345,9.578173E-4,-2.105751E+0
9/9/2021  16:12:37.626346,8.739197E-4,-2.003204E+0
9/9/2021  16:12:37.626346,1.117581E-3,-2.181522E+0
9/9/2021  16:12:37.626347,9.903273E-4,-2.158799E+0
9/9/2021  16:12:37.626347,7.150736E-4,-2.265535E+0
9/9/2021  16:12:37.626348,8.126204E-4,-2.169215E+0
9/9/2021  16:12:37.626348,7.537538E-4,-2.125104E+0
9/9/2021  16:12:37.626349,8.126204E-4,-2.169215E+0
