frame_size = 8000,  actual_sampling_rate/(S/sec) = 2000000.000000, carrier/Hz = 19999999.9953 
timestamp,amplitude,phase/rad
9/9/2021  16:08:25.336343,1.165315E-3,-7.853982E-1
9/9/2021  16:08:25.336344,1.078995E-3,-7.853982E-1
9/9/2021  16:08:25.336344,1.125470E-3,-8.621701E-1
9/9/2021  16:08:25.336345,9.996879E-4,-1.025141E+0
9/9/2021  16:08:25.336345,1.235909E-3,-9.964915E-1
9/9/2021  16:08:25.336346,1.239296E-3,-9.075933E-1
9/9/2021  16:08:25.336346,1.295514E-3,-7.520772E-1
9/9/2021  16:08:25.336347,9.058422E-4,-1.001483E+0
9/9/2021  16:08:25.336347,9.903273E-4,-9.827937E-1
9/9/2021  16:08:25.336348,1.185128E-3,-9.685090E-1
9/9/2021  16:08:25.336348,1.037632E-3,-1.080839E+0
9/9/2021  16:08:25.336349,1.172486E-3,-8.960554E-1
9/9/2021  16:08:25.336349,1.135768E-3,-1.034985E+0
9/9/2021  16:08:25.336350,9.316924E-4,-1.019141E+0
9/9/2021  16:08:25.336350,1.145566E-3,-8.419416E-1
9/9/2021  16:08:25.336351,1.135357E-3,-9.380475E-1
9/9/2021  16:08:25.336351,1.388177E-3,-9.888912E-1
9/9/2021  16:08:25.336352,1.271934E-3,-1.042722E+0
9/9/2021  16:08:25.336352,1.202681E-3,-9.475970E-1
9/9/2021  16:08:25.336353,1.007576E-3,-9.575890E-1
9/9/2021  16:08:25.336353,1.058076E-3,-9.907936E-1
9/9/2021  16:08:25.336354,1.110894E-3,-9.218008E-1
9/9/2021  16:08:25.336354,1.178034E-3,-9.324765E-1
9/9/2021  16:08:25.336355,1.287581E-3,-1.022247E+0
9/9/2021  16:08:25.336355,1.193742E-3,-1.004067E+0
9/9/2021  16:08:25.336356,1.261640E-3,-1.009633E+0
9/9/2021  16:08:25.336356,1.287943E-3,-9.367736E-1
9/9/2021  16:08:25.336357,1.151648E-3,-1.012197E+0
9/9/2021  16:08:25.336357,1.160108E-3,-9.536049E-1
9/9/2021  16:08:25.336358,1.147191E-3,-1.071450E+0
9/9/2021  16:08:25.336358,1.110894E-3,-9.218008E-1
9/9/2021  16:08:25.336359,1.016320E-3,-8.491415E-1
9/9/2021  16:08:25.336359,1.142717E-3,-9.753865E-1
9/9/2021  16:08:25.336360,1.050124E-3,-9.505468E-1
9/9/2021  16:08:25.336360,1.039426E-3,-8.685394E-1
9/9/2021  16:08:25.336361,1.188659E-3,-1.061204E+0
9/9/2021  16:08:25.336361,1.235909E-3,-9.964915E-1
9/9/2021  16:08:25.336362,1.119246E-3,-1.119343E+0
9/9/2021  16:08:25.336362,1.162114E-3,-1.048393E+0
9/9/2021  16:08:25.336363,1.165315E-3,-7.853982E-1
9/9/2021  16:08:25.336363,1.058076E-3,-9.907936E-1
9/9/2021  16:08:25.336364,1.100364E-3,-9.827937E-1
9/9/2021  16:08:25.336364,1.153668E-3,-9.167136E-1
