frame_size = 2000,  actual_sampling_rate/(S/sec) = 200000.000000, carrier/Hz = 19999999.9721 
amplitude,phase/rad
0.034029,2.018801
0.034001,2.021197
0.033987,2.020389
0.033988,2.018381
0.033961,2.018770
0.033975,2.017571
0.034057,2.018413
0.033935,2.017149
0.034004,2.015177
0.034032,2.014791
0.033990,2.016374
0.033991,2.014366
0.034035,2.010782
0.034032,2.014791
0.033926,2.010304
0.033979,2.011547
0.034020,2.011976
0.034009,2.009158
0.034049,2.009589
0.034010,2.007152
0.033942,2.007098
0.034012,2.005147
0.033983,2.007532
0.034027,2.003956
0.033987,2.003518
0.033987,2.003518
0.033933,2.002262
0.034019,1.999131
0.034032,1.999947
0.034021,1.997127
0.033953,1.997052
0.034064,1.995570
0.034011,1.994305
0.033971,1.993855
0.033961,1.991028
0.034055,1.992751
0.033977,1.989841
0.034008,1.987472
0.033996,1.986651
0.033983,1.985829
0.034027,1.984285
0.033934,1.982537
0.033974,1.983001
0.033990,1.981819
0.033966,1.980171
0.033970,1.978165
0.033998,1.977810
0.034010,1.978634
0.034034,1.973451
0.034018,1.974628
0.034050,1.972275
0.033974,1.969319
0.034030,1.968623
0.033995,1.966140
0.033967,1.966486
0.034000,1.964137
0.034005,1.962136
0.033993,1.961306
0.033987,1.958473
0.034021,1.960964
0.034015,1.958134
0.033980,1.955639
0.034009,1.955302
0.034014,1.953302
0.034031,1.952135
0.034031,1.947306
0.033957,1.949133
0.033992,1.946801
0.034037,1.945309
0.033975,1.943129
0.034010,1.940805
0.034039,1.940481
0.033999,1.939968
0.033984,1.936294
0.033973,1.935455
0.034012,1.935973
0.034041,1.935653
0.034026,1.931981
0.034022,1.929147
0.034033,1.929987
0.033990,1.926625
0.033983,1.928621
0.033998,1.924629
0.033948,1.923254
0.033995,1.921792
0.034013,1.920641
0.034010,1.917804
0.034000,1.916960
0.033988,1.913277
0.034047,1.915509
0.033988,1.913277
0.033940,1.914728
0.034015,1.910139
0.033965,1.908743
0.033994,1.908446
0.033935,1.906198
0.033944,1.904204
0.034059,1.903031
0.033972,1.901069
0.034049,1.902184
0.034020,1.899639
0.033990,1.897090
0.034038,1.895666
0.034029,1.894816
0.033990,1.894250
0.034067,1.889714
0.034000,1.889425
0.034029,1.889144
0.033991,1.885733
0.034029,1.886308
0.034039,1.884325
0.033993,1.880055
0.034031,1.880636
0.033964,1.880328
0.034012,1.878927
0.034032,1.877800
0.033976,1.875503
0.034005,1.875234
0.033986,1.873520
0.034036,1.872130
0.033988,1.870682
0.034027,1.871273
0.033979,1.869824
0.033944,1.866387
0.033984,1.864145
0.034014,1.863886
0.033976,1.863286
0.033920,1.860960
0.033978,1.860447
0.033999,1.859330
0.034032,1.856240
0.034032,1.856240
0.033947,1.854159
0.033997,1.852795
0.034010,1.850822
0.034056,1.852296
0.033934,1.849590
0.033976,1.847369
0.034006,1.847124
0.034006,1.847124
0.034040,1.844047
0.033951,1.844774
0.033973,1.843667
0.033994,1.842560
0.033999,1.839725
0.033961,1.839098
0.033969,1.839964
0.034058,1.839249
0.033996,1.836025
0.033975,1.837127
0.034047,1.834690
0.033967,1.836260
0.033959,1.835393
0.033994,1.832324
0.034002,1.833191
0.034061,1.832726
0.033970,1.829720
0.034007,1.830358
0.033992,1.828623
0.033984,1.827754
0.034059,1.829032
0.034006,1.826658
0.034065,1.826205
0.034014,1.827526
0.034012,1.823827
0.034057,1.825338
0.033961,1.825147
0.033975,1.823182
0.034012,1.823827
0.034056,1.821643
0.033997,1.822089
0.034012,1.823827
0.033997,1.822089
0.033990,1.821219
0.034019,1.820997
0.034026,1.818168
0.034012,1.820128
0.034063,1.818817
0.034019,1.820997
0.034041,1.819906
0.034093,1.818597
0.033989,1.817517
0.034026,1.818168
0.034004,1.819258
0.033982,1.816646
0.034041,1.819906
0.034041,1.819906
0.033989,1.817517
0.034063,1.818817
0.034004,1.819258
0.034019,1.817298
0.034034,1.819037
0.033974,1.819479
0.034093,1.818597
0.033997,1.818388
0.034056,1.817948
0.034063,1.818817
0.034012,1.820128
0.034049,1.820775
0.034093,1.818597
0.034027,1.821866
0.033960,1.821442
0.034049,1.820775
0.034012,1.820128
0.033960,1.821442
0.033997,1.822089
0.033960,1.821442
0.033975,1.823182
0.034020,1.824696
0.033953,1.824277
0.033916,1.823632
0.034035,1.826431
0.034028,1.825564
0.033990,1.824921
0.033984,1.827754
0.034043,1.827299
0.033955,1.827983
0.034000,1.829491
0.034000,1.829491
0.034037,1.830128
0.034053,1.831861
0.034002,1.833191
0.034023,1.832092
0.033892,1.834995
0.033988,1.835158
0.033988,1.835158
0.034012,1.837757
0.034004,1.836891
0.034028,1.839487
0.034036,1.840351
0.033999,1.839725
0.033964,1.842801
0.033994,1.842560
0.034023,1.842319
0.034010,1.844289
0.033951,1.844774
0.033997,1.846260
0.034031,1.849712
0.034001,1.849959
0.034039,1.850574
0.034065,1.853157
0.033989,1.851933
0.033985,1.854770
0.033994,1.855632
0.033944,1.857000
0.034011,1.857354
0.034002,1.856493
0.034034,1.862768
0.033976,1.863286
0.034014,1.863886
0.034022,1.864745
0.033973,1.866125
0.034029,1.868438
0.033979,1.869824
0.033988,1.870682
0.034047,1.870152
0.033988,1.870682
0.033966,1.874646
0.034005,1.875234
0.033956,1.876630
0.033954,1.879472
0.034002,1.880910
0.034001,1.883748
0.034001,1.883748
0.033952,1.885156
0.034000,1.886586
0.034058,1.888863
0.034048,1.890846
0.033961,1.891694
0.033990,1.891411
0.034038,1.892830
0.034009,1.895952
0.033942,1.895675
0.034040,1.901336
0.033982,1.901919
