frame_size = 2000,  actual_sampling_rate/(S/sec) = 200000.000000, carrier/Hz = 19999999.9721 
amplitude,phase/rad
0.042279,-2.095493
0.042189,-2.097569
0.042253,-2.095855
0.042257,-2.097467
0.042204,-2.098194
0.042193,-2.099183
0.042231,-2.097830
0.042224,-2.100432
0.042204,-2.098194
0.042209,-2.099808
0.042261,-2.099079
0.042193,-2.099183
0.042140,-2.099913
0.042246,-2.098455
0.042198,-2.100797
0.042178,-2.098558
0.042156,-2.100538
0.042209,-2.099808
0.042198,-2.100797
0.042182,-2.100173
0.042239,-2.101055
0.042220,-2.098819
0.042229,-2.102044
0.042239,-2.101055
0.042167,-2.099548
0.042229,-2.102044
0.042229,-2.102044
0.042191,-2.103401
0.042198,-2.100797
0.042187,-2.101787
0.042156,-2.100538
0.042250,-2.100067
0.042244,-2.102667
0.042119,-2.101896
0.042229,-2.102044
0.042202,-2.102410
0.042286,-2.102923
0.042213,-2.101421
0.042213,-2.101421
0.042244,-2.102667
0.042213,-2.101421
0.042150,-2.103144
0.042244,-2.102667
0.042176,-2.102777
0.042239,-2.101055
0.042156,-2.100538
0.042222,-2.104646
0.042191,-2.103401
0.042213,-2.101421
0.042229,-2.102044
0.042229,-2.102044
0.042229,-2.102044
0.042244,-2.102667
0.042198,-2.100797
0.042218,-2.103034
0.042255,-2.101678
0.042218,-2.103034
0.042191,-2.103401
0.042145,-2.101529
0.042244,-2.102667
0.042239,-2.101055
0.042207,-2.104023
0.042249,-2.104278
0.042176,-2.102777
0.042290,-2.104533
0.042249,-2.104278
0.042233,-2.103656
0.042191,-2.103401
0.042244,-2.102667
0.042165,-2.103768
0.042255,-2.101678
0.042207,-2.104023
0.042196,-2.105014
0.042181,-2.104391
0.042249,-2.104278
0.042259,-2.103289
0.042233,-2.103656
0.042264,-2.104900
0.042218,-2.103034
0.042185,-2.106005
0.042134,-2.102520
0.042233,-2.103656
0.042222,-2.104646
0.042249,-2.104278
0.042244,-2.102667
0.042218,-2.103034
0.042259,-2.103289
0.042191,-2.103401
0.042207,-2.104023
0.042202,-2.102410
0.042207,-2.104023
0.042233,-2.103656
0.042213,-2.101421
0.042187,-2.101787
0.042218,-2.103034
0.042213,-2.101421
0.042160,-2.102153
0.042160,-2.102153
0.042213,-2.101421
0.042239,-2.101055
0.042224,-2.100432
0.042209,-2.099808
0.042198,-2.100797
0.042193,-2.099183
0.042202,-2.102410
0.042178,-2.098558
0.042266,-2.100690
0.042171,-2.101163
0.042193,-2.099183
0.042235,-2.099443
0.042224,-2.100432
0.042288,-2.098715
0.042242,-2.096843
0.042178,-2.098558
0.042231,-2.097830
0.042283,-2.097104
0.042204,-2.098194
0.042178,-2.098558
0.042196,-2.094966
0.042207,-2.093978
0.042200,-2.096580
0.042222,-2.094604
0.042173,-2.096943
0.042242,-2.096843
0.042218,-2.092991
0.042207,-2.093978
0.042237,-2.095230
0.042203,-2.092364
0.042207,-2.093978
0.042180,-2.094340
0.042260,-2.093257
0.042161,-2.092097
0.042244,-2.092631
0.042199,-2.090750
0.042203,-2.092364
0.042184,-2.090122
0.042210,-2.089763
0.042237,-2.089405
0.042180,-2.088507
0.042237,-2.089405
0.042256,-2.085822
0.042138,-2.088236
0.042233,-2.087791
0.042176,-2.086891
0.042188,-2.085905
0.042199,-2.084919
0.042135,-2.086618
0.042158,-2.084645
0.042268,-2.084838
0.042241,-2.085193
0.042155,-2.083028
0.042196,-2.083304
0.042226,-2.084564
0.042208,-2.082319
0.042223,-2.082950
0.042211,-2.083934
0.042261,-2.081612
0.042208,-2.082319
0.042178,-2.081057
0.042231,-2.080351
0.042231,-2.080351
0.042205,-2.080704
0.042205,-2.080704
0.042296,-2.078666
0.042258,-2.079999
0.042255,-2.078386
0.042255,-2.078386
0.042187,-2.078457
0.042278,-2.076422
0.042252,-2.076772
0.042252,-2.076772
0.042237,-2.076140
0.042237,-2.076140
0.042210,-2.076490
0.042249,-2.075159
0.042207,-2.074875
0.042249,-2.075159
0.042249,-2.075159
0.042219,-2.073893
0.042249,-2.075159
0.042290,-2.075442
0.042166,-2.074591
0.042232,-2.072911
0.042234,-2.074526
0.042163,-2.072974
0.042202,-2.071644
0.042137,-2.073322
0.042270,-2.071584
0.042229,-2.071297
0.042217,-2.072278
0.042200,-2.070028
0.042175,-2.071991
0.042188,-2.071009
0.042173,-2.070374
0.042241,-2.070316
0.042200,-2.070028
0.042132,-2.070085
0.042200,-2.070028
0.042183,-2.067776
0.042197,-2.068411
0.042283,-2.070604
0.042239,-2.068701
0.042188,-2.071009
0.042185,-2.069392
0.042210,-2.067431
0.042144,-2.069103
0.042251,-2.067722
0.042200,-2.070028
0.042236,-2.067087
0.042253,-2.069336
0.042224,-2.068066
0.042249,-2.066108
0.042195,-2.066795
0.042251,-2.067722
0.042183,-2.067776
0.042210,-2.067431
0.042173,-2.070374
0.042210,-2.067431
0.042210,-2.067431
0.042156,-2.068121
0.042236,-2.067087
0.042181,-2.066159
0.042214,-2.070662
0.042171,-2.068757
0.042183,-2.067776
0.042197,-2.068411
0.042197,-2.068411
0.042212,-2.069047
0.042156,-2.068121
0.042214,-2.070662
0.042171,-2.068757
0.042200,-2.070028
0.042229,-2.071297
0.042214,-2.070662
0.042188,-2.071009
0.042229,-2.071297
0.042161,-2.071356
0.042163,-2.072974
0.042107,-2.072052
0.042139,-2.074940
0.042205,-2.073259
0.042166,-2.074591
