frame_size = 2000,  actual_sampling_rate/(S/sec) = 200000.000000, carrier/Hz = 19999999.9721 
amplitude,phase/rad
0.043900,-2.204704
0.043962,-2.201940
0.043964,-2.198470
0.043960,-2.195969
0.043996,-2.197094
0.043944,-2.201380
0.043918,-2.205264
0.043917,-2.208738
0.044020,-2.213050
0.043922,-2.218188
0.043978,-2.219849
0.043947,-2.217770
0.043922,-2.218188
0.043922,-2.218188
0.043947,-2.221242
0.043996,-2.220402
0.043947,-2.221242
0.043910,-2.216661
0.043904,-2.214158
0.043917,-2.208738
0.043905,-2.207207
0.043978,-2.205970
0.043949,-2.203881
0.043895,-2.202200
0.043908,-2.200257
0.043922,-2.198315
0.043955,-2.202911
0.043962,-2.201940
0.043882,-2.204143
0.043875,-2.205116
0.043953,-2.209854
0.043922,-2.211240
0.043953,-2.209854
0.043953,-2.213325
0.043892,-2.216105
0.043923,-2.221663
0.043960,-2.222767
0.043887,-2.224033
0.043967,-2.225265
0.043938,-2.226661
0.043916,-2.230560
0.043958,-2.230683
0.043927,-2.228610
0.043882,-2.225008
0.043874,-2.219028
0.043947,-2.217770
0.043922,-2.211240
0.043900,-2.204704
0.043933,-2.199848
0.043885,-2.191207
0.043949,-2.188463
0.043889,-2.187732
0.043861,-2.185626
0.043914,-2.187330
0.043903,-2.191773
0.043861,-2.197598
0.043919,-2.201789
0.043965,-2.211382
0.043934,-2.216242
0.043875,-2.222505
0.043975,-2.227761
0.043830,-2.230313
0.043884,-2.236414
0.043961,-2.234153
0.043940,-2.230134
0.043895,-2.226534
0.043887,-2.224033
0.043875,-2.222505
0.043849,-2.215968
0.043892,-2.212629
0.043910,-2.209710
0.043861,-2.210540
0.043929,-2.206794
0.043877,-2.201638
0.043883,-2.200666
0.043864,-2.194119
0.043832,-2.195497
0.043864,-2.194119
0.043864,-2.194119
0.043949,-2.194436
0.043893,-2.196219
0.043872,-2.199132
0.043821,-2.203433
0.043880,-2.207621
0.043898,-2.208180
0.043873,-2.212072
0.043922,-2.211240
0.043904,-2.210683
0.043886,-2.210125
0.043882,-2.204143
0.043904,-2.197753
0.043949,-2.194436
0.043814,-2.194932
0.043875,-2.195655
0.043879,-2.198161
0.043852,-2.202049
0.043928,-2.210268
0.043867,-2.213045
0.043855,-2.211514
0.043928,-2.213742
0.043940,-2.215270
0.043879,-2.214576
0.043855,-2.211514
0.043875,-2.205116
0.043915,-2.199286
0.043832,-2.195497
0.043920,-2.192338
0.043917,-2.189834
0.043807,-2.189912
0.043864,-2.188134
0.043914,-2.187330
0.043853,-2.186596
0.043936,-2.184424
0.043890,-2.181750
0.043888,-2.179244
0.043888,-2.179244
0.043913,-2.178846
0.043878,-2.177705
0.043855,-2.180610
0.043855,-2.180610
0.043873,-2.181180
0.043900,-2.183288
0.043874,-2.189671
0.043875,-2.195655
0.043895,-2.202200
0.043850,-2.205528
0.043875,-2.205116
0.043888,-2.203171
0.043882,-2.204143
0.043845,-2.203021
0.043877,-2.201638
0.043870,-2.202610
0.043906,-2.203732
0.043942,-2.195406
0.043878,-2.192178
0.043931,-2.187896
0.043873,-2.181180
0.043953,-2.176517
0.043934,-2.173441
0.043848,-2.170574
0.043923,-2.166893
0.043888,-2.163235
0.043913,-2.160341
0.043845,-2.155517
0.043862,-2.156097
0.043913,-2.157835
0.043930,-2.163423
0.043873,-2.170182
0.043886,-2.176737
0.043840,-2.182549
0.043924,-2.188865
0.043913,-2.193308
0.043818,-2.197442
0.043897,-2.198724
0.043843,-2.197034
0.043938,-2.192903
0.043899,-2.189268
0.043933,-2.181921
0.043894,-2.175769
0.043890,-2.170756
0.043923,-2.166893
0.043905,-2.163811
0.043887,-2.160728
0.043887,-2.158220
0.043921,-2.156872
0.043854,-2.154553
0.044006,-2.157260
0.043854,-2.154553
0.043981,-2.155142
0.043930,-2.158414
0.043862,-2.161115
0.043914,-2.165352
0.043890,-2.170756
0.043944,-2.174979
0.043958,-2.181522
0.043861,-2.185626
0.043946,-2.185960
0.043886,-2.185225
0.043890,-2.181750
0.043958,-2.181522
0.043886,-2.176737
0.043967,-2.172083
0.043897,-2.167283
0.043947,-2.163999
0.043913,-2.160341
0.043887,-2.158220
0.043896,-2.159763
0.043913,-2.157835
0.043853,-2.159571
0.043947,-2.156488
0.043913,-2.155329
0.043972,-2.153602
0.043837,-2.153972
0.043914,-2.150318
0.043906,-2.148774
0.043899,-2.147230
0.043924,-2.146851
0.043897,-2.149736
0.043882,-2.146647
0.043889,-2.150699
0.043837,-2.153972
0.043904,-2.158799
0.043905,-2.163811
0.043930,-2.163423
0.043948,-2.166503
0.043863,-2.166132
0.043865,-2.171149
0.043949,-2.169007
0.043924,-2.169398
0.043888,-2.165742
0.043905,-2.166318
0.043930,-2.163423
0.043870,-2.157641
0.043930,-2.153404
0.043891,-2.145685
0.043962,-2.140507
0.043862,-2.139500
0.043906,-2.137206
0.043906,-2.137206
0.043850,-2.133896
0.043866,-2.134484
0.043887,-2.139126
0.043920,-2.140297
0.043891,-2.145685
0.043940,-2.149938
0.043871,-2.152625
0.043862,-2.156097
0.043963,-2.157066
0.043921,-2.159377
0.043887,-2.160728
0.043870,-2.160149
0.043963,-2.157066
0.043989,-2.156682
0.043879,-2.154169
0.043846,-2.150498
0.043899,-2.147230
0.043874,-2.145101
0.043874,-2.145101
0.043817,-2.141799
0.043819,-2.139288
0.043890,-2.136619
0.043871,-2.138539
0.043876,-2.142594
0.043883,-2.144139
0.043864,-2.148572
0.043914,-2.150318
0.043871,-2.152625
0.043862,-2.156097
0.043879,-2.154169
0.043854,-2.154553
0.043880,-2.151662
0.043890,-2.148192
0.043849,-2.145479
0.043918,-2.142802
0.043885,-2.141632
0.043894,-2.140672
0.043913,-2.138751
0.043897,-2.138165
0.043862,-2.139500
0.043869,-2.141047
0.043871,-2.138539
0.043864,-2.136992
0.043854,-2.137953
0.043860,-2.142008
0.043825,-2.143347
0.043902,-2.142217
0.043902,-2.142217
0.043899,-2.147230
0.043965,-2.149558
0.043880,-2.151662
0.043905,-2.151280
0.043821,-2.150879
0.043881,-2.149154
0.043863,-2.151080
0.043846,-2.150498
0.043864,-2.148572
0.043840,-2.146442
0.043808,-2.142762
0.043869,-2.141047
0.043962,-2.140507
0.043911,-2.141257
0.043869,-2.141047
0.043878,-2.140086
0.043812,-2.137739
0.043899,-2.135659
0.043890,-2.136619
0.043845,-2.138914
0.043902,-2.142217
0.043867,-2.143555
0.043890,-2.148192
0.043933,-2.145890
0.043856,-2.147026
0.043831,-2.147405
0.043872,-2.150117
0.043922,-2.151861
0.043845,-2.155517
0.043887,-2.158220
0.043896,-2.162270
0.043887,-2.160728
0.043879,-2.159185
0.043879,-2.159185
0.043887,-2.158220
0.043870,-2.157641
0.043896,-2.157256
0.043761,-2.152609
0.043838,-2.151462
0.043890,-2.148192
0.043865,-2.146063
0.043850,-2.142970
0.043869,-2.141047
0.043867,-2.143555
0.043902,-2.142217
0.043891,-2.145685
0.043807,-2.145273
0.043823,-2.145858
0.043839,-2.148952
0.043863,-2.151080
0.043871,-2.155133
0.043897,-2.152243
0.043862,-2.153589
0.043879,-2.154169
0.043887,-2.155713
0.043837,-2.153972
0.043905,-2.151280
0.043881,-2.149154
0.043891,-2.145685
0.043832,-2.144895
0.043856,-2.147026
0.043882,-2.146647
0.043773,-2.144103
0.043832,-2.144895
0.043856,-2.147026
0.043846,-2.150498
