frame_size = 2000,  actual_sampling_rate/(S/sec) = 200000.000000, carrier/Hz = 19999999.9721 
amplitude,phase/rad
0.032983,-3.058221
0.033016,-3.057377
0.032988,-3.056377
0.033049,-3.056534
0.032965,-3.053531
0.032996,-3.053612
0.032999,-3.052691
0.032968,-3.052609
0.033062,-3.051936
0.032976,-3.049844
0.033101,-3.049263
0.033046,-3.047254
0.033015,-3.047167
0.032997,-3.043396
0.032963,-3.044227
0.033024,-3.044407
0.033027,-3.043487
0.033003,-3.041556
0.033039,-3.039810
0.033073,-3.038986
0.033012,-3.038796
0.032985,-3.037781
0.032927,-3.036667
0.033018,-3.036958
0.032998,-3.034102
0.032998,-3.034102
0.033028,-3.034201
0.033018,-3.028588
0.033041,-3.030527
0.033048,-3.028692
0.033045,-3.029610
0.032968,-3.025620
0.033028,-3.025833
0.033025,-3.026751
0.032971,-3.024700
0.033039,-3.023081
0.032952,-3.021833
0.032986,-3.021025
0.033016,-3.021136
0.032997,-3.018270
0.033031,-3.017467
0.032948,-3.015285
0.032951,-3.014366
0.032978,-3.015401
0.033024,-3.011850
0.032959,-3.012529
0.032937,-3.010572
0.033024,-3.011850
0.032941,-3.009653
0.032957,-3.005982
0.032953,-3.006899
0.033005,-3.008980
0.032987,-3.006107
0.032931,-3.004938
0.033026,-3.004400
0.033039,-3.001655
0.033013,-3.000611
0.032948,-3.001268
0.033013,-3.000611
0.032987,-2.999565
0.032995,-2.997734
0.033004,-2.995903
0.033004,-2.995903
0.032948,-2.994718
0.032988,-2.993023
0.032966,-2.991055
0.032992,-2.992108
0.033027,-2.991332
0.032955,-2.987254
0.033006,-2.989365
0.033010,-2.988451
0.032960,-2.986339
0.032994,-2.985568
0.032964,-2.985424
0.033039,-2.982974
0.033023,-2.980090
0.032979,-2.982682
0.032979,-2.982682
0.032988,-2.980855
0.033023,-2.980090
0.033003,-2.978116
0.032973,-2.977966
0.033043,-2.976444
0.032978,-2.977053
0.032953,-2.975987
0.032963,-2.974161
0.032998,-2.973403
0.033008,-2.971580
0.033003,-2.972491
0.032959,-2.969442
0.033008,-2.971580
0.032989,-2.969600
0.032999,-2.967778
0.032975,-2.966706
0.033019,-2.969758
0.032955,-2.964721
0.032980,-2.965795
0.032985,-2.964884
0.032980,-2.965795
0.032991,-2.963973
0.033015,-2.965046
0.032971,-2.961988
0.032977,-2.961077
0.032941,-2.961822
0.032977,-2.961077
0.033012,-2.960333
0.032963,-2.958178
0.032963,-2.958178
0.033023,-2.958515
0.032939,-2.957098
0.032963,-2.958178
0.033010,-2.955620
0.033016,-2.954712
0.032956,-2.954367
0.033022,-2.953803
0.032986,-2.954540
0.032992,-2.953631
0.032962,-2.953458
0.032937,-2.952374
0.032985,-2.949822
0.032973,-2.951639
0.033009,-2.950906
0.032990,-2.948914
0.033015,-2.949998
0.032990,-2.948914
0.032990,-2.948914
0.032985,-2.949822
0.032978,-2.946012
0.032966,-2.947828
0.032918,-2.945652
0.032948,-2.945832
0.033032,-2.942566
0.032948,-2.945832
0.033038,-2.941661
0.032966,-2.943108
0.032966,-2.943108
0.033008,-2.941477
0.033032,-2.942566
0.032972,-2.942200
0.032936,-2.942925
0.033002,-2.942384
0.032984,-2.940387
0.032954,-2.940201
0.033020,-2.939666
0.032997,-2.938574
0.032984,-2.940387
0.033039,-2.936951
0.032943,-2.937293
0.032937,-2.938200
0.033015,-2.935858
0.033026,-2.938760
0.033009,-2.936763
0.033015,-2.935858
0.032992,-2.934763
0.033015,-2.935858
0.033015,-2.935858
0.033015,-2.935858
0.032949,-2.936386
0.032985,-2.935669
0.032962,-2.934573
