frame_size = 2000,  actual_sampling_rate/(S/sec) = 200000.000000, carrier/Hz = 19999999.9721 
amplitude,phase/rad
0.033650,-1.778152
0.033722,-1.779551
0.033656,-1.779040
0.033710,-1.777780
0.033627,-1.779227
0.033650,-1.778152
0.033746,-1.778479
0.033620,-1.778339
0.033644,-1.777265
0.033674,-1.777079
0.033667,-1.776192
0.033710,-1.777780
0.033686,-1.778852
0.033644,-1.777265
0.033674,-1.777079
0.033693,-1.779739
0.033639,-1.781003
0.033686,-1.778852
0.033669,-1.780813
0.033746,-1.778479
0.033716,-1.778665
0.033712,-1.782395
0.033686,-1.778852
0.033729,-1.780436
0.033650,-1.778152
0.033663,-1.779927
0.033693,-1.779739
0.033650,-1.778152
0.033686,-1.778852
0.033686,-1.778852
0.033718,-1.783280
0.033699,-1.780625
0.033656,-1.779040
0.033699,-1.780625
0.033699,-1.780625
0.033705,-1.781510
0.033746,-1.778479
0.033716,-1.778665
0.033669,-1.780813
0.033675,-1.781700
0.033699,-1.780625
0.033669,-1.780813
0.033712,-1.782395
0.033693,-1.779739
0.033735,-1.781321
0.033646,-1.781890
0.033680,-1.777966
0.033646,-1.781890
0.033646,-1.781890
0.033722,-1.779551
0.033718,-1.783280
0.033722,-1.779551
0.033688,-1.783471
0.033652,-1.782776
0.033688,-1.783471
0.033712,-1.782395
0.033639,-1.781003
0.033675,-1.781700
0.033646,-1.781890
0.033597,-1.779415
0.033658,-1.783663
0.033735,-1.781321
0.033652,-1.782776
0.033748,-1.783090
0.033652,-1.782776
0.033652,-1.782776
0.033682,-1.782586
0.033688,-1.783471
0.033688,-1.783471
0.033665,-1.784549
0.033658,-1.783663
0.033712,-1.782395
0.033665,-1.784549
0.033771,-1.782016
0.033695,-1.784357
0.033701,-1.785242
0.033718,-1.783280
0.033665,-1.784549
0.033695,-1.784357
0.033648,-1.786514
0.033642,-1.785628
0.033665,-1.784549
0.033701,-1.785242
0.033688,-1.783471
0.033678,-1.786320
0.033701,-1.785242
0.033612,-1.785821
0.033695,-1.784357
0.033678,-1.786320
0.033721,-1.787895
0.033635,-1.784741
0.033678,-1.786320
0.033671,-1.785435
0.033602,-1.788677
0.033698,-1.788974
0.033678,-1.786320
0.033615,-1.790450
0.033691,-1.788090
0.033625,-1.787595
