frame_size = 2000,  actual_sampling_rate/(S/sec) = 200000.000000, carrier/Hz = 19999999.9721 
amplitude,phase/rad
0.042073,-1.190290
0.042101,-1.190559
0.042112,-1.189886
0.042118,-1.191501
0.042084,-1.189617
0.042078,-1.188000
0.042095,-1.188944
0.042010,-1.188132
0.042118,-1.187599
0.042067,-1.188673
0.042045,-1.186112
0.042078,-1.188000
0.042090,-1.187328
0.042073,-1.186384
0.042016,-1.185839
0.042073,-1.186384
0.042084,-1.185711
0.042113,-1.185984
0.042187,-1.183573
0.042084,-1.185711
0.042119,-1.183697
0.042102,-1.182752
0.042052,-1.179913
0.042086,-1.181806
0.042125,-1.181411
0.042086,-1.181806
0.042007,-1.178688
0.042132,-1.179125
0.042059,-1.177624
0.042076,-1.178572
0.042127,-1.177510
0.042094,-1.175615
0.042054,-1.176005
0.042050,-1.174386
0.042050,-1.174386
0.042101,-1.173329
0.042073,-1.173048
0.042045,-1.172767
0.042085,-1.172379
0.042041,-1.171147
0.042093,-1.170093
0.042100,-1.167808
0.042116,-1.168759
0.042084,-1.166857
0.042084,-1.166857
0.042100,-1.167808
0.042104,-1.163906
0.042108,-1.165524
0.042064,-1.164285
0.042076,-1.163619
0.042032,-1.162377
0.042044,-1.161711
0.042053,-1.159425
0.042105,-1.158386
0.042097,-1.160669
0.042025,-1.159134
0.042046,-1.156183
0.042139,-1.154778
0.042090,-1.157431
0.042099,-1.155148
0.042099,-1.155148
0.042095,-1.153529
0.042052,-1.152277
0.042136,-1.153160
0.042120,-1.152204
0.042074,-1.149331
0.042142,-1.149263
0.042061,-1.149994
0.042046,-1.149035
0.042041,-1.145791
0.042137,-1.146027
0.042078,-1.143809
0.042106,-1.144109
0.042008,-1.142245
0.042063,-1.142848
0.042116,-1.141830
0.042061,-1.141226
0.042099,-1.139249
0.042099,-1.139249
0.042046,-1.140264
0.042082,-1.136666
0.042054,-1.136361
0.042027,-1.136056
0.042040,-1.135397
0.042064,-1.132460
0.042078,-1.133424
0.042132,-1.132419
0.042143,-1.130144
0.042075,-1.130182
0.042073,-1.128560
0.042059,-1.127594
0.042087,-1.127905
0.042071,-1.125317
0.041989,-1.126002
0.042056,-1.124349
0.042070,-1.123695
0.042097,-1.124008
0.042014,-1.121443
0.042041,-1.121758
0.042068,-1.120451
0.042068,-1.120451
0.042108,-1.120114
0.042025,-1.117541
0.042039,-1.116889
0.042024,-1.115918
0.042024,-1.115918
0.042065,-1.115585
0.042010,-1.113321
0.042065,-1.113962
0.042078,-1.113311
0.042065,-1.113962
0.042023,-1.109422
0.042105,-1.110390
0.042105,-1.108769
0.042091,-1.109418
0.042119,-1.109741
0.042077,-1.106824
0.042023,-1.106174
0.042037,-1.107149
0.042050,-1.104877
0.042091,-1.106176
0.042050,-1.104877
0.042023,-1.104550
0.042119,-1.103260
0.042119,-1.103260
0.042064,-1.104229
0.042065,-1.100984
0.042078,-1.101959
0.042024,-1.099679
0.042092,-1.099691
0.042051,-1.100008
0.042065,-1.099362
0.041997,-1.097724
0.042065,-1.099362
0.041997,-1.097724
0.042025,-1.096431
0.042066,-1.097740
0.042066,-1.096117
0.042093,-1.098070
0.042067,-1.094495
0.042067,-1.094495
0.041986,-1.093495
0.042026,-1.094808
0.042027,-1.093184
0.041986,-1.093495
0.042108,-1.094183
0.042069,-1.091251
0.042014,-1.092205
0.042110,-1.090943
0.042015,-1.090581
0.042055,-1.091895
0.042056,-1.090273
0.041975,-1.089264
0.042029,-1.089937
0.042070,-1.089629
0.042029,-1.089937
0.041989,-1.088620
0.042016,-1.088957
0.042003,-1.087977
0.042030,-1.088314
0.042030,-1.088314
0.042017,-1.087333
0.042030,-1.088314
0.042032,-1.086690
0.041992,-1.085371
0.041978,-1.086014
0.041990,-1.086995
0.042019,-1.085710
0.042017,-1.087333
0.042006,-1.084728
0.042006,-1.084728
0.042006,-1.084728
0.041993,-1.083746
0.042062,-1.083784
0.042006,-1.084728
0.042008,-1.083104
0.042089,-1.084123
0.042035,-1.083444
0.042076,-1.083143
0.042074,-1.084764
0.042036,-1.081821
0.041982,-1.081138
0.042020,-1.084086
0.041995,-1.082121
0.042008,-1.083104
0.042035,-1.083444
0.042051,-1.081181
0.042036,-1.081821
0.042009,-1.081480
0.042024,-1.080839
0.042036,-1.081821
0.041995,-1.082121
0.042026,-1.079216
0.042051,-1.081181
0.042011,-1.079856
0.042053,-1.079558
0.042011,-1.079856
0.042011,-1.079856
0.042065,-1.080540
0.042054,-1.077936
0.042054,-1.077936
0.042024,-1.080839
0.042053,-1.079558
0.042108,-1.078622
0.042038,-1.080198
0.042028,-1.077593
0.042013,-1.078233
0.042011,-1.079856
0.042003,-1.075625
0.042081,-1.078279
0.042065,-1.080540
0.042028,-1.077593
0.042054,-1.077936
0.042081,-1.078279
0.042081,-1.078279
0.042040,-1.078576
0.042083,-1.076658
0.042040,-1.078576
0.042042,-1.076953
0.042015,-1.076609
0.042013,-1.078233
0.042069,-1.077297
0.042013,-1.078233
0.042054,-1.077936
0.042096,-1.077641
0.042067,-1.078919
0.042042,-1.076953
0.042096,-1.077641
0.042042,-1.076953
0.042110,-1.077002
0.042054,-1.077936
0.041984,-1.079513
0.042094,-1.079261
0.042081,-1.078279
0.042081,-1.078279
0.042040,-1.078576
0.042067,-1.078919
0.042054,-1.077936
0.042067,-1.078919
0.042096,-1.077641
0.042081,-1.078279
0.042081,-1.078279
0.042054,-1.077936
0.042081,-1.078279
0.042067,-1.078919
0.042054,-1.077936
0.042079,-1.079900
0.042065,-1.080540
0.042150,-1.078326
0.042150,-1.078326
0.042065,-1.080540
0.042067,-1.078919
0.042053,-1.079558
0.042092,-1.080882
0.042079,-1.079900
0.042053,-1.079558
0.042092,-1.080882
0.042108,-1.078622
0.042065,-1.080540
0.042106,-1.080242
0.042026,-1.079216
0.042119,-1.081223
0.042119,-1.081223
0.042132,-1.082203
0.042092,-1.080882
0.042092,-1.080882
0.042094,-1.079261
0.042009,-1.081480
0.042121,-1.079603
0.042105,-1.081862
0.041968,-1.081780
0.042065,-1.080540
0.042105,-1.081862
0.042062,-1.083784
0.042090,-1.082502
0.042036,-1.081821
0.042090,-1.082502
0.042103,-1.083483
0.042049,-1.082803
0.041997,-1.080497
0.042063,-1.082162
0.042009,-1.081480
0.042076,-1.083143
0.042087,-1.085744
0.042103,-1.083483
0.042090,-1.082502
0.042062,-1.083784
0.042074,-1.084764
0.042060,-1.085406
0.042062,-1.083784
0.042116,-1.084462
0.042073,-1.086386
0.042076,-1.083143
0.042047,-1.084425
0.042033,-1.085067
0.042033,-1.085067
0.042087,-1.085744
0.042101,-1.085103
0.042062,-1.083784
0.042020,-1.084086
0.041992,-1.085371
0.042006,-1.084728
0.042047,-1.084425
0.042087,-1.085744
0.042032,-1.086690
0.042073,-1.086386
0.042060,-1.085406
0.042046,-1.086048
0.042086,-1.087365
0.042086,-1.087365
0.042100,-1.086724
0.042087,-1.085744
0.042059,-1.087028
0.042032,-1.086690
0.042030,-1.088314
0.042099,-1.088344
0.042086,-1.087365
0.042072,-1.088008
0.042099,-1.088344
0.042030,-1.088314
0.042072,-1.088008
0.042086,-1.087365
0.042086,-1.087365
0.042113,-1.087702
0.042044,-1.087671
0.042113,-1.087702
0.042003,-1.087977
0.042030,-1.088314
0.042086,-1.087365
0.042057,-1.088650
0.042043,-1.089293
0.042113,-1.087702
0.042029,-1.089937
0.042003,-1.087977
0.042083,-1.090608
0.042044,-1.087671
0.042056,-1.090273
0.042084,-1.088987
0.042099,-1.088344
0.042097,-1.089965
0.042097,-1.089965
0.042072,-1.088008
0.042057,-1.088650
0.042097,-1.089965
0.042043,-1.089293
0.042056,-1.090273
0.042029,-1.089937
0.042043,-1.089293
0.042083,-1.090608
0.042043,-1.089293
0.042029,-1.089937
0.042111,-1.089322
0.042099,-1.088344
0.042097,-1.089965
0.042083,-1.090608
0.042069,-1.091251
0.042030,-1.088314
0.042043,-1.089293
0.042082,-1.092229
0.042097,-1.089965
0.042082,-1.092229
0.042070,-1.089629
0.042042,-1.090916
0.042042,-1.090916
0.042056,-1.090273
0.042042,-1.090916
0.042042,-1.090916
0.042042,-1.090916
0.042056,-1.090273
0.042069,-1.091251
0.042082,-1.092229
0.042069,-1.091251
0.042110,-1.090943
0.042028,-1.091561
0.042110,-1.090943
0.042083,-1.090608
0.042028,-1.091561
0.042041,-1.092539
0.042041,-1.092539
0.042042,-1.090916
0.042041,-1.092539
0.042028,-1.091561
0.042068,-1.092873
0.042082,-1.092229
0.042001,-1.091225
0.042028,-1.091561
0.042054,-1.093518
0.042069,-1.091251
0.042027,-1.093184
0.042041,-1.092539
0.041986,-1.093495
0.041987,-1.091870
0.042027,-1.093184
0.042000,-1.092850
0.042068,-1.092873
0.042068,-1.092873
0.042068,-1.092873
0.042029,-1.089937
0.042041,-1.092539
0.042027,-1.093184
0.042013,-1.093829
0.042054,-1.093518
0.042068,-1.092873
0.042001,-1.091225
0.042109,-1.092563
0.041987,-1.091870
0.042000,-1.092850
0.042123,-1.091920
0.042014,-1.092205
0.042027,-1.093184
0.042041,-1.092539
0.041999,-1.094475
0.042014,-1.092205
0.042055,-1.091895
0.042028,-1.091561
0.042026,-1.094808
0.042041,-1.092539
0.041987,-1.091870
0.042026,-1.094808
0.042055,-1.091895
0.042041,-1.092539
0.041972,-1.094141
0.041999,-1.094475
0.042039,-1.095786
0.041999,-1.094475
0.042027,-1.093184
0.042000,-1.092850
0.041958,-1.094788
0.041999,-1.094475
0.042081,-1.093851
0.042012,-1.095453
0.042012,-1.095453
0.042053,-1.095140
0.042068,-1.092873
0.041944,-1.095434
0.042026,-1.094808
0.041932,-1.092827
0.042039,-1.095786
0.042040,-1.094162
0.041998,-1.096099
0.041998,-1.096099
0.042012,-1.095453
0.041999,-1.094475
0.042013,-1.093829
0.041944,-1.095434
0.042039,-1.095786
0.041972,-1.094141
0.041970,-1.097393
0.042039,-1.097409
0.041985,-1.095121
